ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
1800;Baugeois Entreprendre;Fonctionnement;;134-02;2000;;2792;;;;;;;;;;;;;;;;;;;;;
1801;Bayreuth Silence Miranda;Dépenses de fonctionnement;06100 NICE;;1000;;2667;;;;;;;;;;;;;;;;;;;;;
1802;BAZEILLES ANIMATION;Fonctionnement;;163-02;1000;;2952;;;;;;;;;;;;;;;;;;;;;
1803;BD  en Beaujolais;Fonctionnement;;224-02;1000;;2377;;;;;;;;;;;;;;;;;;;;;
1804;BD’ART;Soutien à la 15ème édition  - du Festival BD’Art; -  42800 Rive-de-Gier ;;1500;;2597;;;;;;;;;;;;;;;;;;;;;
1805;BDM LIVE;Fonctionnement;;224-02;1000;;2775;;;;;;;;;;;;;;;;;;;;;
1806;Beaucourt Omni Sports;Fonctionnement;;219-01;1000;;267327;;;;;;;;;;;;;;;;;;;;;
1807;Beaujolais en scène et en musique;Fonctionnement;;224-02;1000;;2377;;;;;;;;;;;;;;;;;;;;;
1808;Beaujolais Val de Saône Handball;Fonctionnement;;219-01;1000;;2377;;;;;;;;;;;;;;;;;;;;;
1809;Bebes Calins;Dépenses d'équipement;81000 CASTRES;;1000;;267673;;;;;;;;;;;;;;;;;;;;;
1811;Bel Arc en Ciel;Fonctionnement;;177-11;1000;;2250;;;;;;;;;;;;;;;;;;;;;
1812;Bel Canto ;Fonctionnement;;224-02;1000;;1574;;;;;;;;;;;;;;;;;;;;;
1813;BEMECOURT - Raymond CORNET;Restauration de l'Eglise;;122-01;1000;;331481;;;;;;;;;;;;;;;;;;;;;
1814;BERCENAY LE HAYER;Achat d'une perche élagueuse;;122-01;500;;369;;;;;;;;;;;;;;;;;;;;;
1815;Berg Loisirs Culture;Fonctionnement;;224-02;1000;;343623;;;;;;;;;;;;;;;;;;;;;
1816;Berlingot;Fonctionnement;;219-01;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1817;Beth Loubavitch de Boulogne;Fonctionnement;;224-02;10000;;346876;;;;;;;;;;;;;;;;;;;;;
1818;Bethel Hebergement;Fonctionnement;;177-14;20000;;607846;;;;;;;;;;;;;;;;;;;;;
1819;Béthisy Nature;Fonctionnement;;113-01;1000;;1031;;;;;;;;;;;;;;;;;;;;;
1820;Béthune, la Culture en Capitale;Sensibilisation au monde de la culture à destination d'enfants de quartiers défavorisés au travers de sorties pédagogiques;M. Thierry CARTON - Président  - 18 Rue des jasmins  - 62400 Béthune;224-02 - ;8000;;608120;;;;;;;;;;;;;;;;;;;;;
1821;Béziers Accueil;Fonctionnement;;224-02;1000;;267457;;;;;;;;;;;;;;;;;;;;;
1822;Bibliothèque Association de Liverdy;Fonctionnement;;224-02;2000;;267813;;;;;;;;;;;;;;;;;;;;;
1823;Bibliothèque de Mestr Tom;Dépenses de fonctionnement;78510 TRIEL SUR SEINE;;1000;;345897;;;;;;;;;;;;;;;;;;;;;
1824;Bibliothèque des Burhnaupt;Fonctionnement;;224-02;1000;;267013;;;;;;;;;;;;;;;;;;;;;
1825;Bibliothèque des Malades du Centre Hospitalier de Thonon;Fonctionnement;Mme Nicole PORTIER, Présidente - 6, boulevard du Bel-Air - 74200 - Thonon les Bains;157-01;1000;;267532;;;;;;;;;;;;;;;;;;;;;
1826;Bibliothèque française de Spire;Fonctionnement;Haus der Vereine, Rulandstr. 4 D-67346 Speyer, Allemagne;151-01;7100;;610936;;;;;;;;;;;;;;;;;;;;;
1827;Bibliothèque La Foye Monjault;développement de l'atelier d'écriture;;224-02;1000;;345994;;;;;;;;;;;;;;;;;;;;;
1828;Bibliothèque Pour Tous;Fonctionnement;;224-02;1000;;336316;;;;;;;;;;;;;;;;;;;;;
1829;Bibliothèque pour Tous;Matériel de rangement + chaises;Cours Chateaubriand - Impasse Combourg - 72000 LE MANS;224-02;2000;;335054;;;;;;;;;;;;;;;;;;;;;
1830;Bibliothèque pour Tous;Fonctionnement;9 b rue Edmond Flamand 76000 Rouen;224-02;5500;;642984;;;;;;;;;;;;;;;;;;;;;
1831;Bibliothèque pour Tous;Fonctionnement;;224-02;1000;;330788;;;;;;;;;;;;;;;;;;;;;
1832;Bibliothèque pour Tous Bourg;Fonctionnement;;224-02;1000;;1001;;;;;;;;;;;;;;;;;;;;;
1833;Bibliothèque sonore;Fonctionnement;;224-02;2000;;606693;;;;;;;;;;;;;;;;;;;;;
1834;Bibliothèque sonore de Boulogne-Billancourt;Fonctionnement;;157-01;3000;;346876;;;;;;;;;;;;;;;;;;;;;
1835;Bibliothèques sans frontières;Fonctionnement;69 rue Armand Carrel 75019 PARIS ;105-02;50000;;Présidence de l'Assemblée (Réserve institutionnelle);;;;;;;;;;;;;;;;;;;;;
1836;Bicross Club Sarrians;Fonctionnement;;219-01;2500;;609726;;;;;;;;;;;;;;;;;;;;;
1837;BIDULBUK;Création d'un bar associatif;11 rue du Cluzel  - 37000 TOURS;224-02;20000;;332305;;;;;;;;;;;;;;;;;;;;;
1838;BIEN VIVRE AU QUARTIER DES TROIS COCUS;Fonctionnement;;147-01;1000;;606299;;;;;;;;;;;;;;;;;;;;;
1839;Biennales de la Reliure d'art;Organisation des biennales;Mme Anne PERISSAGUET - 01 30 52 77 55;224-02;3000;;267605;;;;;;;;;;;;;;;;;;;;;
1840;Bienvenue à nos Enfants;Fonctionnement;;106-02;1000;;267680;;;;;;;;;;;;;;;;;;;;;
1841;Bik Insertion professionnelle;Fonctionnement;101, résidence Les Mouffias Boisripeaux;102-02;10000;;268039;;;;;;;;;;;;;;;;;;;;;
1842;Billard Club Farenc;Participation au financement de l'organisation du championnat de France amateur de billard français;36 bis Avenue Pasteur - 13580 La Fare-les-Oliviers;219-01;7000;;642684;;;;;;;;;;;;;;;;;;;;;
1843;Bio solidaire (AMAP);Chantier d'insertion de solidarité et bio;32 rue du Dolmen  - 86100 Senillé;102-02;10000;;609816;;;;;;;;;;;;;;;;;;;;;
1844;Bioberry;Fonctionnement;Maison de l'Agriculture - 2701 route d'Orélans - 18230 BOURGES;154-14;5000;;1401;;;;;;;;;;;;;;;;;;;;;
1845;Blabla Productions;promotion et développement du spectacle vivant;Chez M. Nguyen  - 4 bis, rue Bernard Delicieux  - 34000 Montpellier;224-02;3000;;606545;;;;;;;;;;;;;;;;;;;;;
1846;BLACKBALL BILLARD CLUB BESAYES 26;Achat d'un billard ;115 chemin de Saint Jean 26300 BESAYES;219-01;1200;;606030;;;;;;;;;;;;;;;;;;;;;
1847;Blanc Sec;Fonctionnement;;224-02;1000;;336576;;;;;;;;;;;;;;;;;;;;;
1848;Bleus de Bar section musculation;Achat de matériel;55000 BAR LE DUC;;1400;;333421;;;;;;;;;;;;;;;;;;;;;
1849;BLICOURT;travaux de rénovation de la salle des fêtes;;122-01;5000;;998;;;;;;;;;;;;;;;;;;;;;
1850;BMX;Dépenses de fonctionnement; - 26203 MONTELIMAR CEDEX;;1500;;331442;;;;;;;;;;;;;;;;;;;;;
1851;BMX Dracénois;Fonctionnement;;219-01;1000;;314;;;;;;;;;;;;;;;;;;;;;
1852;BMX Evreux;activités sportives;27000 Evreux;219-01;4000;;606040;;;;;;;;;;;;;;;;;;;;;
1853;Bocal (Télé bocal); Production, diffusion, promotion de contenus audiovisuels;75 Paris;313-03;5000;;609016;;;;;;;;;;;;;;;;;;;;;
1854;Body's Spirit;Fonctionnement;;219-01;1000;;267728;;;;;;;;;;;;;;;;;;;;;
1855;Boissière Ballade;Organisation de programme de voyage à destinations des personnes à faibles revenus;;304-13;2000;;610291;;;;;;;;;;;;;;;;;;;;;
1856;BOISSY-LE-BOIS;Amélioration de la voirie;;;3600;;267227;;;;;;;;;;;;;;;;;;;;;
1857;BOLBEC BARJO;Fonctionnement;;219-01;1000;;2952;;;;;;;;;;;;;;;;;;;;;
1858;Bondy Innovation Institut de Recherche pour le Développement - France-Nord;Achat de matériel;32, avenue Henri Varagnat 93143 Bondy Cedex;134-20;20000;;381;;;;;;;;;;;;;;;;;;;;;
1859;Bonheurs de la Vie;Fonctionnement;;157-05;1000;;330684;;;;;;;;;;;;;;;;;;;;;
1860;Bouc Volley;Fonctionnement;M. Joël THIEBAULT - 39-41, place Hôtel Dieu - 60000 - Beauvais;219-01;2000;;2048;;;;;;;;;;;;;;;;;;;;;
1861;Bouche et Cœur;Fonctionnement;;304-14;3000;;609345;;;;;;;;;;;;;;;;;;;;;
1862;Bouger à Fresnes;Fonctionnement;;219-01;1000;;243;;;;;;;;;;;;;;;;;;;;;
1863;Bouger c'est permis;Fonctionnement;;304-13;2000;;606495;;;;;;;;;;;;;;;;;;;;;
1864;Boule Coopérative Montplaisir;Fonctionnement;;219-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
1865;Boule de la Gouffonne;Fonctionnement;;219-01;1000;;2796;;;;;;;;;;;;;;;;;;;;;
1866;Boule de Saint Romain Lachalm;Achat matériel, déplacements du club sportif;M. Marc PLAY - Lautat - 43620 - Saint Romain Lachalm;219-01;1000;;267285;;;;;;;;;;;;;;;;;;;;;
1867;Boule des Boers;Fonctionnement;;219-01;1000;;267429;;;;;;;;;;;;;;;;;;;;;
1868;Boule du Centre;Fonctionnement;;219-01;1000;;267429;;;;;;;;;;;;;;;;;;;;;
1869;Boule du Vieux Château;Fonctionnement;;219-01;1000;;605036;;;;;;;;;;;;;;;;;;;;;
1870;Boule Indépendante du Cros;Réfection de la toiture du local associatif;63, rue de Molina 42000 SAINT-ETIENNE;219-01;3000;;332614;;;;;;;;;;;;;;;;;;;;;
1871;BOULE IZARDS CLUB;Fonctionnement;;219-01;1000;;606299;;;;;;;;;;;;;;;;;;;;;
1872;Boule Maillane Percy;Fonctionnement;;219-01;1500;;2815;;;;;;;;;;;;;;;;;;;;;
1873;Boule Radieuse;Fonctionnement;;219-01;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1874;Boule Sportive Optevozienne;Fonctionnement;;219-01;1000;;2250;;;;;;;;;;;;;;;;;;;;;
1875;BOULING CLUB ROGUET ET CLUB SENIORS;Fonctionnement;;157-05;1000;;606299;;;;;;;;;;;;;;;;;;;;;
1876;Boulistes de Michel-Ange;Dépenses de fonctionnement; 06100 NICE;;1000;;2667;;;;;;;;;;;;;;;;;;;;;
1877;BOURDENAY;Rénovation et accessibilité de la Mairie;;122-01;4000;;369;;;;;;;;;;;;;;;;;;;;;
1878;Bout de vie Lorraine;Venir en aide aux personnes handicapées;24, rue Nicolas Hanant  - 57950 Montigny les metz;157-04;1500;;605963;;;;;;;;;;;;;;;;;;;;;
1879;BOUTENCOURT;Assainissement pluvial partiel ;;122-01;3000;;2048;;;;;;;;;;;;;;;;;;;;;
1880;Boxe Loisirs (ASBLM 32);Fonctionnement ;Mme Fabienne ROYET A Monseigne 32430 SAINT-CRICQ;219-01;2000;;508;;;;;;;;;;;;;;;;;;;;;
1881;Boxing athlétic club;Fonctionnement;;219-01;4000;;1931;;;;;;;;;;;;;;;;;;;;;
1882;Boxing club de la Plaine;Achat de matériel sportif; M. BENABDALLAH - 13, rue du Général Guillaumat - 75015 - Paris;219-01;1500;;230329;;;;;;;;;;;;;;;;;;;;;
1884;Boxing Club Pussay;Fonctionnement;;219-01;1000;;2086;;;;;;;;;;;;;;;;;;;;;
1885;Boxing Karaté Club ;Fonctionnement;;219-01;1000;;1574;;;;;;;;;;;;;;;;;;;;;
1886;Boys Futsal;Championnat 2012/2013;17 Avenue du Bivaque - 54400 LONGWY;219-01;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
1887;Bras Band;Achats instruments  - Brass Band du Rhône;Ecole Lyonnaise des Cuivres - Maison des Associations - 28 rue Denfert-Rochereau - 69004 Lyon;224-02;10000;;334755;;;;;;;;;;;;;;;;;;;;;
1888;Brasero;Lutter contre l'exclusion sociale et professionnelle des personnes défavorisées;80000 Amiens;304-13;5000;;609520;;;;;;;;;;;;;;;;;;;;;
1889;BRESLES;travaux d'installation d'un espace toilette publique ;;122-01;10000;;998;;;;;;;;;;;;;;;;;;;;;
1890;Bretagne Durable;Promotion de développement durable;13, rue emile cloarec 29600 morlaix, Présidente Magali Chouvion;113-07;5000;;642739;;;;;;;;;;;;;;;;;;;;;
1891;Bretagne vivante;Défense de l'environnement;29000 Brest;217-01;1000;;607619;;;;;;;;;;;;;;;;;;;;;
1892;Bridge A Marcq;Fonctionnement;;219-01;1000;;1459;;;;;;;;;;;;;;;;;;;;;
1893;Bridge Club de Menton ;Fonctionnement;;224-02;2000;;1574;;;;;;;;;;;;;;;;;;;;;
1894;Brin d'Osier;Organisation marché aux paniers;Mme Thérèse DUTERTE - Mairie - 43620 - Saint Pal de Mons;224-02;1000;;267285;;;;;;;;;;;;;;;;;;;;;
1895;Brive Limousin Triathlon;Acquisition matériel et équipement;M. Sauvezie-Président - 28 rue M. Rollinat - 19100 Brive;219-01;5000;;2265;;;;;;;;;;;;;;;;;;;;;
1896;Bro Gwenrann - Cercle Celtique;Fonctionnement;;224-02;5000;;267728;;;;;;;;;;;;;;;;;;;;;
1897;BRUNVILLERS-LA-MOTTE;travaux de ravalement de la mairie;;122-01;10000;;998;;;;;;;;;;;;;;;;;;;;;
1898;Bry Harmony Orchestra;Organisation du concert Les Céciliades - Déplacement dans la ville jumelle;19, rue de l'Ormeraie - 94360 - Bry-sur-Marne;224-02;3500;;746;;;;;;;;;;;;;;;;;;;;;
1899;Bry Services Familles;Achat de matériels - Services aux anciens;Château Lorentz - 11, avenue Georges Clémenceau - 94360 - Bry-sur-Marne;106-03;8000;;746;;;;;;;;;;;;;;;;;;;;;
1900;Buc Loisirs;Fonctionnement;;224-02;1000;;267327;;;;;;;;;;;;;;;;;;;;;
1901;Buc Tiers Monde;Création d'un espace socioculturel à Ziou (Burkina Faso);Mme Chantal RIGAL - 1, rue Collin Mamet - 78530 - Buc;209-02;2500;;267605;;;;;;;;;;;;;;;;;;;;;
1902;Budo Club Farenc;Contribution aux frais de fonctionnement;8 les fauts des ferrages - 13580 La Fare-les-Oliviers;219-01;6000;;642684;;;;;;;;;;;;;;;;;;;;;
1903;BUEIL EN TOURAINE;Travaux d'intérêt local;;122-01;10000;;667;;;;;;;;;;;;;;;;;;;;;
1904;BUIS SUR DAMVILLE - André MAILLE;Restauration église non classée;;122-01;20000;;331481;;;;;;;;;;;;;;;;;;;;;
1905;Bulles de vie ;Echanges locaux entre habitants et paysans;15, rue Guérin Leroux  - 94120 Fontenay sous Bois;206-08;4000;;610427;;;;;;;;;;;;;;;;;;;;;
1906;Bureau des Etudiants ;Fonctionnement;;231-01;6000;;606712;;;;;;;;;;;;;;;;;;;;;
1907;Bures Animation;Fonctionnement;;157-05;1000;;422119;;;;;;;;;;;;;;;;;;;;;
1908;Bushido Club Provence;Fonctionnement;;219-01;1000;;2796;;;;;;;;;;;;;;;;;;;;;
1909;Bussy running;Fonctionnement;;219-01;1000;;609292;;;;;;;;;;;;;;;;;;;;;
1910;Butokuden Dojo;Réfection du bâtiment accueillant le dojo;BP 1375  - 97500 SAINT-PIERRE ET MIQUELON;219-01;45000;;337633;;;;;;;;;;;;;;;;;;;;;
1911;C.A Pontarlier Football;Fonctionnement;;219-01;5000;;605991;;;;;;;;;;;;;;;;;;;;;
1912;C.A.T. (Culture Animation Tradition);Fonctionnement;;224-02;2000;;330788;;;;;;;;;;;;;;;;;;;;;
1913;C.C Chevrières Handball;Fonctionnement;;219-01;1000;;1031;;;;;;;;;;;;;;;;;;;;;
1914;C.M.I.A.;Fonctionnement;;224-02;1000;;267886;;;;;;;;;;;;;;;;;;;;;
1915;C.O.T.E.C;Fonctionnement;;214-01;1000;;1459;;;;;;;;;;;;;;;;;;;;;
1916;C.O.V. CHEVEUGES;Fonctionnement;;219-01;1000;;2952;;;;;;;;;;;;;;;;;;;;;
1917;C.S.M.E. Cyclisme;Fonctionnement;c/o Parc Municipal des Sports - 6 avenue de Lattre de Tassigny - 93800 Epinay-sur-Seine;;5000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
1918;CACIS - centre de consultation et d'information sur la sexualité;;Place de l'Europe - BP 44  - 33030 BORDEAUX Cédex;204-12;2500;;606412;;;;;;;;;;;;;;;;;;;;;
1919;CADAC;Défendre le droit des femmes, droit à l'avortement et à la contraception;21 ter, rue Voltaire  - 75011 Paris;137-12;5500;;606910;;;;;;;;;;;;;;;;;;;;;
1920;Cadance Country;Achat de matériels;Mme Jocelyne RIGOURD, Présidente - 2 bis, rue Pigeon - 28210 - Villemeux sur Eure;219-01;6000;;267151;;;;;;;;;;;;;;;;;;;;;
1921;CADEC;Fonctionnement;;224-02;1000;;267499;;;;;;;;;;;;;;;;;;;;;
1922;Cadets des sapeurs pompiers des Yvelines;Fonctionnement;;128-02;1000;;345937;;;;;;;;;;;;;;;;;;;;;
1923;Cadets Saint Laurent XIII;Fonctionnement;;219-01;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1924;Cadoles et Sens;Fonctionnement;;175-01;1000;;2377;;;;;;;;;;;;;;;;;;;;;
1925;Cadr'action 29;Fonctionnement;41 rue de Kerfeunteun - 29000 Quimper;102-02;2000;;331594;;;;;;;;;;;;;;;;;;;;;
1926;Cafarnaüm (Théâtre);Fonctionnement;;224-02;1000;;267327;;;;;;;;;;;;;;;;;;;;;
1927;Café associatif;Achats de matériels;Cité des Tilleuls  - Blanc Mesnil;147-04;10000;;689;;;;;;;;;;;;;;;;;;;;;
1928;Café associatif;Installation de l'association dans un lieu fixe pour développer sa présence et multiplier les évènements;BP Commune de Cesson - Route de Saint-Leu 77240 CESSON;224-02;10000;;609332;;;;;;;;;;;;;;;;;;;;;
1929;CAFES;réalisation d'un chantier d'insertion bâtiment;;102-02;3000;;342415;;;;;;;;;;;;;;;;;;;;;
1930;Caisse des Mineurs Gluck-Auf;Fonctionnement;;163-01;2000;;267358;;;;;;;;;;;;;;;;;;;;;
1931;Calad'ajef;Fonctionnement;;177-11;1000;;2377;;;;;;;;;;;;;;;;;;;;;
1932;Calcagno;Fonctionnement;;224-02;5000;;267506;;;;;;;;;;;;;;;;;;;;;
1933;Calès St Denis;Fonctionnement;;224-02;1000;;330788;;;;;;;;;;;;;;;;;;;;;
1934;Califruit;Fonctionnement;;154-11;3500;;334843;;;;;;;;;;;;;;;;;;;;;
1935;CAM 44;Promouvoir la musique dans le cadre de l'éducation populaire;CSC Bugallière  - 10, rue du Pont Marchand  - 44700 Orvault;163-02;3000;;332747;;;;;;;;;;;;;;;;;;;;;
1936;Cambrai Hockey club;Achat matériel investissement;59400 Cambrai;;10000;;267765;;;;;;;;;;;;;;;;;;;;;
1937;Canet 66 Tennis Club;Fonctionnement;;219-01;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1938;Canet Accueil;Fonctionnement;;224-02;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1939;Canet en Roussillon Basket;Fonctionnement;;219-01;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1940;Canet Natation 66;Fonctionnement;;219-01;1000;;344492;;;;;;;;;;;;;;;;;;;;;
1941;Canetons Club de Beaumont;Fonctionnement;;219-01;1500;;1661;;;;;;;;;;;;;;;;;;;;;
1942;Canoe Kayak Club Arpajonnais;Achat de matériel;;232-05;10000;;609963;;;;;;;;;;;;;;;;;;;;;
1943;Canoe Kayak Club Vallée de l'Ain;Fonctionnement;;219-01;1000;;605036;;;;;;;;;;;;;;;;;;;;;
1944;CANOE KAYAK DU PAYS SEDANAIS;Fonctionnement;;219-01;1000;;2952;;;;;;;;;;;;;;;;;;;;;
1945;Canoë-kayak Club de France (CKCF);Achat de matériels et d'un canoë;47, quai Louis Ferber - 94360 - Bry-sur-Marne;219-01;3500;;746;;;;;;;;;;;;;;;;;;;;;
1946;Canteleu Club;Fonctionnement;;157-05;1000;;1001;;;;;;;;;;;;;;;;;;;;;
1947;Cantigny Loisirs;Fonctionnement;;163-01;1000;;1466;;;;;;;;;;;;;;;;;;;;;
1948;Cantus Sylva;Organisation concerts;M. Georges VARILLON - 1, place de l'Abbaye - 43140 - La Seauve sur Semene;224-02;1000;;267285;;;;;;;;;;;;;;;;;;;;;
1949;Cap Evasion;Voyage culturel pour des jeunes en Europe;M. Georges MOUNIER - Vourze - 43590 - Beauzac;163-01;2000;;267285;;;;;;;;;;;;;;;;;;;;;
1950;CAP Mariage 78;Fonctionnement;;106-03;4000;;609345;;;;;;;;;;;;;;;;;;;;;
1951;CAPM HVS;Résidence de création théâtrale;;224-02;4000;;345994;;;;;;;;;;;;;;;;;;;;;
1952;CAPOEIRA, Bleus de Bar;Achat de matériel;55000 BAR LE DUC;;2200;;333421;;;;;;;;;;;;;;;;;;;;;
1953;CAPS 44;Organisation de diverses animations ;;157-05;2500;;332747;;;;;;;;;;;;;;;;;;;;;
1954;CAPS Centre social;Animation de quartiers, montage actions culturelles et préventives avec dynamique sportive;80090 Amiens;163-02;2200;;609520;;;;;;;;;;;;;;;;;;;;;
1955;Captain'Némo;Formation à la plongée;13 Rue Rasseteau  - 86100 Châtellerault;219-01;3200;;609816;;;;;;;;;;;;;;;;;;;;;
1956;Car de Langres 52;Fonctionnement;;219-01;1500;;267165;;;;;;;;;;;;;;;;;;;;;
1957;Carillon;Aménagement d'un local;3 rue du Général Renault 75011 Paris;224-02;30000;;543;;;;;;;;;;;;;;;;;;;;;
1958;CARMA;Fonctionnement;;163-01;1000;;335567;;;;;;;;;;;;;;;;;;;;;
1959;Carpentras Gymnastique;Fonctionnement;;219-01;1000;;609726;;;;;;;;;;;;;;;;;;;;;
1960;Carpentras Judo;Fonctionnement;;219-01;1000;;609726;;;;;;;;;;;;;;;;;;;;;
1961;Carré Bastille;festival bastille quartier libre;38 rue de la Roquette 75011 Paris;224-02;10000;;543;;;;;;;;;;;;;;;;;;;;;
1962;Carrefour Chrétien Culturel Beaugrenelle C3B);Fonctionnement;;219-01;3000;;1521;;;;;;;;;;;;;;;;;;;;;
1963;Carrefour du soleil;Fonctionnement;;224-02;1000;;267886;;;;;;;;;;;;;;;;;;;;;
1964;Carrosserie Mesnier;Fonctionnement ;Nathalie Richard présidente - CARROSSERIE MESNIER - 3 rue Hôtel Dieu - 18200 Saint-Amand-Montrond;224-02;5000;;1401;;;;;;;;;;;;;;;;;;;;;
1965;Casa Africa;Promouvoir les acteurs publics et privés porteurs d'initiative en lien avec l'Afrique;Maison des échanges internationaux et de la francophonie  - 13, av. de l'Hôtel Dieu  - 44000 Nantes;224-06;5000;;332747;;;;;;;;;;;;;;;;;;;;;
1966;CASDAL 14;Création d'une salle de spectacle ;181-183 rue Vercingétorix 75014 Paris;224-02;50000;;609042;;;;;;;;;;;;;;;;;;;;;
1967;CASODOM;Fonctionnement;7, bis rue du Louvres 75001 Paris ;102-02;10000;;268039;;;;;;;;;;;;;;;;;;;;;
1968;Casse ta routine;Participer, promouvoir et impulser des actions pour renforcer le lien social;10, rue Samuel Champlain  - 44300 Nantes;147-01;4800;;332747;;;;;;;;;;;;;;;;;;;;;
1969;Cassos;Fonctionnement;;163-04;2000;;330684;;;;;;;;;;;;;;;;;;;;;
1970;CASTEL GYM;Championnat de France de gymnastique FSGT;CHATEAUNEUF-LES-MARTIGUES;219-02;2000;;695;;;;;;;;;;;;;;;;;;;;;
1971;CATHEUX;travaux d'électrification de la cloche de l'église;;122-01;850;;998;;;;;;;;;;;;;;;;;;;;;
1972;CAUVIGNY;Réfection escalier de la mairie;;122-01;2500;;2048;;;;;;;;;;;;;;;;;;;;;
1973;Cavaillon Actions Commerce;Fonctionnement;;134-02;2500;;336316;;;;;;;;;;;;;;;;;;;;;
1974;Cavigal Nice Sport;Fonctionnement;2, rue El Nourah - 06200 - Nice;219-01;4000;;1263;;;;;;;;;;;;;;;;;;;;;
1975;Cavigal Nice Sports Omnisports;Fonctionnement;;219-01;5000;;330240;;;;;;;;;;;;;;;;;;;;;
1976;Cazouls Hand Ball;Fonctionnement;;219-01;1000;;267457;;;;;;;;;;;;;;;;;;;;;
1977;CC Pays de Fontenay-le-comte;Berges de la Vendée - piste cyclable;Fontenay le Comte;122-01;5000;;609775;;;;;;;;;;;;;;;;;;;;;
1978;CCAS de BISCHHEIM;Travaux de la Halte garderie du CCAS;;122-01;6388;;2707;;;;;;;;;;;;;;;;;;;;;
1979;CCAS de la Commune de Cachan;Achat de véhicules utilitaire pour l'antenne des restos du coeur secteur Villejuif-Arcueil-Cachan-Gentilly;Hôtel de Ville - Square de la Libération - 94230 CACHAN;122-01;30000;;267835;;;;;;;;;;;;;;;;;;;;;
1980;CCAS de LA ROCHE SUR FORON;Achat du matériel prévu dans le cadre de l'équipement du centre intergénérationnel;;122-01;10000;;267527;;;;;;;;;;;;;;;;;;;;;
1981;CCAS Vassy;Réaménagement d'un local en hébergement provisoire pour SDF ;Mairie Pace Colonel Candau  - 14410 Vassy;122-01;3000;;2828;;;;;;;;;;;;;;;;;;;;;
1982;CCML;Fonctionnement;;224-02;1000;;267591;;;;;;;;;;;;;;;;;;;;;
1983;CCS Saint Félix;Accueillir activités culturelles, sportives ou de loisirs;7, rue St Jean Baptiste de la Salle  - 44300 Nantes;219-01;4000;;332747;;;;;;;;;;;;;;;;;;;;;
1984;CCSJ 18;Fonctionnement ;Le petit marcais - 18200 St-Amand-Montrond;224-02;5000;;1401;;;;;;;;;;;;;;;;;;;;;
1985;Cdc association à Meylan;Projet d'aide à l'établissement d'etat civil au Mali;18, chemin des Buisses  - 38240 Meylan;209-02;3000;;642788;;;;;;;;;;;;;;;;;;;;;
1986;CDC DE LA BOIXE;Réhabilitation de la Place de Montignac;16560 TOURRIERS;122-01;5000;;1809;;;;;;;;;;;;;;;;;;;;;
1987;CDC DU CONFOLENTAIS;Equipement cuisine EHPAD La Commanderie ;16500 CONFOLENS;122-01;5000;;1809;;;;;;;;;;;;;;;;;;;;;
1988;CDC HAUTE-CHARENTE;Création maison de santé pluridisciplinaire;16270 ROUMAZIERES-LOUBERT;122-01;7500;;1809;;;;;;;;;;;;;;;;;;;;;
1989;CDMJS 79;actions de découverte du sports et activités culturelles en faveur d'enfants de familles défavorisées;;219-01;3000;;345994;;;;;;;;;;;;;;;;;;;;;
1990;CDS Environnement;Fonctionnement;;113-01;6000;;1761;;;;;;;;;;;;;;;;;;;;;
1992;Celia, un combat pour la vie;Fonctionnement;;157-01;2000;;607846;;;;;;;;;;;;;;;;;;;;;
1993;Celtic Irish Club ;Fonctionnement;;219-01;2000;;2815;;;;;;;;;;;;;;;;;;;;;
1994;CEMEA Lunel;Fonctionnement;;102-02;4500;;606639;;;;;;;;;;;;;;;;;;;;;
1995;CEN Auvergne;Préservation du patrimoine naturel;Moulin de la Croûte  - Rue Léon Versipy  - 63200 Riom;113-07;5000;;608186;;;;;;;;;;;;;;;;;;;;;
1996;Centavia;100 ème anniversaire de la batterie fanfare;Complexe associatif  - BP 5  - 63230 CHAPDES BEAUFORT;224-02;5000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
