ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
4585;Commune de LA GARDE FREINET;Equipement de toutes les classes de l'école primaire en informatique;;122-01;7587;;951;;;;;;;;;;;;;;;;;;;;;
4586;Commune de LA GAUDE;Travaux d'amélioration dans les écoles communales;;122-01;10000;;267680;;;;;;;;;;;;;;;;;;;;;
4587;Commune de LA GIMOND;Rénovation de la Salle communale;;122-01;5000;;2664;;;;;;;;;;;;;;;;;;;;;
4588;Commune de La Glacerie;Aménagement crèche - halte garderie;;122-01;10000;;642836;;;;;;;;;;;;;;;;;;;;;
4589;Commune de LA GODEFROY;Travaux de voirie au lieu dit Launay;;122-01;7000;;333134;;;;;;;;;;;;;;;;;;;;;
4590;Commune de La Grand Combe;Travaux d'accessibilité et de rénovation de l'école Anatole France;30110 LA GRAND COMBE;122-01;10000;;1193;;;;;;;;;;;;;;;;;;;;;
4591;Commune de La Grand Combe;Travaux d'accessibilité et de rénovation de l'école Anatole France;La Grand Combe;122-01;3000;;1193;;;;;;;;;;;;;;;;;;;;;
4592;Commune de LA GRESLE;Changement des huisseries des bâtiments communaux;;122-01;2869;;2277;;;;;;;;;;;;;;;;;;;;;
4593;Commune de La Guérinière;Réhabilitation et mise aux normes de la salle polyvalente socio-culturelle;;122-01;20000;;609764;;;;;;;;;;;;;;;;;;;;;
4594;Commune de LA GUIERCHE;Travaux d'aménagement des accès à la gare TER;;122-01;15000;;267317;;;;;;;;;;;;;;;;;;;;;
